"No.","Time","Source","Destination","Protocol","Length","Info"
"17245","497.930423","Ubiquiti_3b:5c:ed","86:26:bc:31:46:e6","802.11","227","Probe Response, SN=2584, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17246","497.945908","Ubiquiti_3b:5c:ed","86:26:bc:31:46:e6","802.11","227","Probe Response, SN=2585, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17248","497.994133","Ubiquiti_3b:5c:ed","86:26:bc:31:46:e6","802.11","227","Probe Response, SN=2587, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17250","498.021884","ArubaaHe_58:77:62","4e:10:9f:ea:05:5d","802.11","183","Probe Response, SN=3161, FN=0, Flags=........, BI=100, SSID=NETIA WIFI"
"17254","498.056661","Ubiquiti_3b:5c:ed","ba:ce:7e:32:e8:8c","802.11","227","Probe Response, SN=2589, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17261","498.146021","Ubiquiti_3b:5c:ed","ba:ce:7e:32:e8:8c","802.11","227","Probe Response, SN=2590, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17262","498.148411","Ubiquiti_3b:5c:ed","ba:ce:7e:32:e8:8c","802.11","227","Probe Response, SN=2591, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17264","498.183926","Ubiquiti_3b:5c:ed","ba:ce:7e:32:e8:8c","802.11","227","Probe Response, SN=2593, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17265","498.205229","Ubiquiti_3b:5c:ed","ba:ce:7e:32:e8:8c","802.11","227","Probe Response, SN=2594, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17269","498.270376","ArubaaHe_58:77:62","SamsungE_34:93:b7","802.11","183","Probe Response, SN=3162, FN=0, Flags=........, BI=100, SSID=NETIA WIFI"
"17271","498.367683","Ubiquiti_3b:5c:ed","82:ca:f2:c9:1d:d4","802.11","227","Probe Response, SN=2597, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17272","498.387883","Ubiquiti_3b:5c:ed","82:ca:f2:c9:1d:d4","802.11","227","Probe Response, SN=2598, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17275","498.434781","Ubiquiti_3b:5c:ed","82:ca:f2:c9:1d:d4","802.11","227","Probe Response, SN=2599, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17278","498.533109","ArubaaHe_58:77:63","92:78:9a:ff:ba:d3","802.11","185","Probe Response, SN=2079, FN=0, Flags=........, BI=100, SSID=COSTA COFFEE"
"17294","499.212166","ArubaaHe_58:77:62","0a:3f:4e:8d:c0:bd","802.11","183","Probe Response, SN=3165, FN=0, Flags=........, BI=100, SSID=NETIA WIFI"
"17298","499.344324","ArubaaHe_58:77:63","Google_c4:6b:fe","802.11","185","Probe Response, SN=2087, FN=0, Flags=........, BI=100, SSID=COSTA COFFEE"
"17300","499.410256","ArubaaHe_58:77:62","Google_c4:6b:fe","802.11","183","Probe Response, SN=3177, FN=0, Flags=........, BI=100, SSID=NETIA WIFI"
"17306","499.591076","Ubiquiti_3b:5c:ed","1a:2f:1f:f9:92:43","802.11","227","Probe Response, SN=2615, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17315","499.906661","ArubaaHe_58:77:63","be:4f:16:31:6d:b6","802.11","185","Probe Response, SN=2094, FN=0, Flags=........, BI=100, SSID=COSTA COFFEE"
"17320","500.132135","Ubiquiti_3b:5c:ed","1a:2f:1f:f9:92:43","802.11","227","Probe Response, SN=2621, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17335","500.839031","Ubiquiti_3b:5c:ed","da:c5:f6:f2:cc:5f","802.11","227","Probe Response, SN=2629, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17336","500.853868","Ubiquiti_3b:5c:ed","da:c5:f6:f2:cc:5f","802.11","227","Probe Response, SN=2630, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17338","500.892798","Ubiquiti_3b:5c:ed","da:c5:f6:f2:cc:5f","802.11","227","Probe Response, SN=2631, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17339","500.917036","Ubiquiti_3b:5c:ed","da:c5:f6:f2:cc:5f","802.11","227","Probe Response, SN=2632, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17343","500.950215","Ubiquiti_3b:5c:ed","da:c5:f6:f2:cc:5f","802.11","227","Probe Response, SN=2634, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17349","501.187195","Ubiquiti_3b:5c:ed","c6:20:2a:72:e6:51","802.11","227","Probe Response, SN=2638, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17350","501.201673","Ubiquiti_3b:5c:ed","c6:20:2a:72:e6:51","802.11","227","Probe Response, SN=2639, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17351","501.225886","Ubiquiti_3b:5c:ed","c6:20:2a:72:e6:51","802.11","227","Probe Response, SN=2640, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17358","501.538341","Ubiquiti_3b:5c:ed","Apple_6c:09:ef","802.11","227","Probe Response, SN=2645, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17360","501.557500","Ubiquiti_3b:5c:ed","Apple_6c:09:ef","802.11","227","Probe Response, SN=2646, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17361","501.579035","Ubiquiti_3b:5c:ed","Apple_6c:09:ef","802.11","227","Probe Response, SN=2647, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17363","501.626392","Ubiquiti_3b:5c:ed","Apple_6c:09:ef","802.11","227","Probe Response, SN=2648, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17375","502.138092","Ubiquiti_3b:5c:ed","be:66:4e:3a:87:bb","802.11","227","Probe Response, SN=2654, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17377","502.185862","Ubiquiti_3b:5c:ed","be:66:4e:3a:87:bb","802.11","227","Probe Response, SN=2656, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17381","502.229642","Ubiquiti_3b:5c:ed","be:66:4e:3a:87:bb","802.11","227","Probe Response, SN=2657, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
